number,square,cube,square-root,cube-root
136,18496,2515456,11.661903789690601,5.14256318131647
137,18769,2571353,11.704699910719626,5.155136735475772
138,19044,2628072,11.74734012447073,5.167649252363622
139,19321,2685619,11.789826122551595,5.180101467380292
140,19600,2744000,11.832159566199232,5.1924941018511035
141,19881,2803221,11.874342087037917,5.2048278633942004
142,20164,2863288,11.916375287812984,5.217103446276167
143,20449,2924207,11.958260743101398,5.229321531755983
144,20736,2985984,12.0,5.241482788417793
145,21025,3048625,12.041594578792296,5.253587872492901
146,21316,3112136,12.083045973594572,5.265637428171437
147,21609,3176523,12.12435565298214,5.277632087904077
148,21904,3241792,12.165525060596439,5.289572472694207
149,22201,3307949,12.206555615733702,5.301459192380904
150,22500,3375000,12.24744871391589,5.313292845913055
151,22801,3442951,12.288205727444508,5.325074021614986
152,23104,3511808,12.328828005937952,5.336803297443889
153,23409,3581577,12.36931687685298,5.348481241239363
154,23716,3652264,12.409673645990857,5.3601084109653625
155,24025,3723875,12.449899597988733,5.371685354944832
156,24336,3796416,12.489995996796797,5.383212612087283
157,24649,3869893,12.529964086141668,5.394690712109591
158,24964,3944312,12.569805089976535,5.406120175750225
159,25281,4019679,12.609520212918492,5.41750151497718
160,25600,4096000,12.649110640673518,5.428835233189813
161,25921,4173281,12.68857754044952,5.4401218254147965
162,26244,4251528,12.727922061357855,5.451361778496419
163,26569,4330747,12.767145334803704,5.462555571281397
164,26896,4410944,12.806248474865697,5.473703674798427
165,27225,4492125,12.84523257866513,5.484806552432618
166,27556,4574296,12.884098726725126,5.4958646600950125
167,27889,4657463,12.922847983320086,5.506878446387352
168,28224,4741632,12.96148139681572,5.517848352762241
169,28561,4826809,13.0,5.528774813678871
170,28900,4913000,13.038404810405298,5.539658256754464
171,29241,5000211,13.076696830622021,5.550499102911546
172,29584,5088448,13.114877048604,5.561297766521235
173,29929,5177717,13.152946437965905,5.5720546555426225
174,30276,5268024,13.19090595827292,5.5827701716584235
175,30625,5359375,13.228756555322953,5.593444710406984
176,30976,5451776,13.2664991614216,5.604078661310774
177,31329,5545233,13.30413469565007,5.61467240800149
178,31684,5639752,13.341664064126334,5.6252263283418555
179,32041,5735339,13.379088160259652,5.635740794544236
180,32400,5832000,13.416407864998739,5.64621617328617
181,32761,5929741,13.45362404707371,5.65665282582291
182,33124,6028568,13.490737563232042,5.667051108097064
183,33489,6128487,13.527749258468683,5.677411370845432
184,33856,6229504,13.564659966250536,5.68773395970313
185,34225,6331625,13.601470508735444,5.698019215305065
186,34596,6434856,13.638181696985855,5.708267473384861
187,34969,6539203,13.674794331177344,5.718479064871316
188,35344,6644672,13.711309200802088,5.728654315982437
189,35721,6751269,13.74772708486752,5.738793548317167
190,36100,6859000,13.784048752090222,5.748897078944831
191,36481,6967871,13.820274961085254,5.758965220492401
192,36864,7077888,13.856406460551018,5.768998281229633
193,37249,7189057,13.892443989449804,5.778996565152129
194,37636,7301384,13.92838827718412,5.788960372062403
195,38025,7414875,13.96424004376894,5.798889997648997
196,38416,7529536,14.0,5.808785733563703
197,38809,7645373,14.035668847618199,5.818647867496961
198,39204,7762392,14.071247279470288,5.828476683251456
199,39601,7880599,14.106735979665885,5.838272460814002
200,40000,8000000,14.142135623730951,5.848035476425731
201,40401,8120601,14.177446878757825,5.857766002650652
202,40804,8242408,14.212670403551895,5.867464308442615
203,41209,8365427,14.247806848775006,5.8771306592107395
204,41616,8489664,14.2828568570857,5.886765316883336
205,42025,8615125,14.317821063276353,5.896368539970366
206,42436,8741816,14.352700094407323,5.9059405836244885
207,42849,8869743,14.38749456993816,5.915481699700716
208,43264,8998912,14.422205101855956,5.9249921368147405
209,43681,9129329,14.45683229480096,5.934472140399941
210,44100,9261000,14.491376746189438,5.943921952763129
211,44521,9393931,14.52583904633395,5.953341813139051
212,44944,9528128,14.560219778561036,5.96273195774369
213,45369,9663597,14.594519519326424,5.972092619826399
214,45796,9800344,14.628738838327793,5.981424029720885
215,46225,9938375,14.66287829861518,5.990726414895092
216,46656,10077696,14.696938456699069,5.999999999999999
217,47089,10218313,14.730919862656235,6.009245006917366
218,47524,10360232,14.7648230602334,6.018461654806452
219,47961,10503459,14.798648586948742,6.027650160149741
220,48400,10648000,14.832396974191326,6.036810736797685
221,48841,10793861,14.866068747318506,6.045943596012513
222,49284,10941048,14.89966442575134,6.055048946511104
223,49729,11089567,14.933184523068078,6.064126994506963
224,50176,11239424,14.966629547095765,6.0731779437513245
225,50625,11390625,15.0,6.082201995573399
226,51076,11543176,15.033296378372908,6.091199348919784
227,51529,11697083,15.066519173319364,6.100170200393062
228,51984,11852352,15.0996688705415,6.109114744289606
229,52441,12008989,15.132745950421556,6.11803317263662
230,52900,12167000,15.165750888103101,6.126925675228416
231,53361,12326391,15.198684153570664,6.135792439661959
232,53824,12487168,15.231546211727817,6.144633651371694
233,54289,12649337,15.264337522473747,6.153449493663682
234,54756,12812904,15.297058540778355,6.162240147749038
235,55225,12977875,15.329709716755891,6.171005792776717
236,55696,13144256,15.362291495737216,6.179746605865644
237,56169,13312053,15.394804318340652,6.188462762136203
238,56644,13481272,15.427248620541512,6.197154434741126
239,57121,13651919,15.459624833740307,6.205821794895751
240,57600,13824000,15.491933384829668,6.214465011907717
241,58081,13997521,15.524174696260024,6.223084253206058
242,58564,14172488,15.556349186104045,6.231679684369752
243,59049,14348907,15.588457268119896,6.240251469155711
244,59536,14526784,15.620499351813308,6.248799769526243
245,60025,14706125,15.652475842498529,6.257324745675973
246,60516,14886936,15.684387141358123,6.265826556058271
247,61009,15069223,15.716233645501712,6.274305357411168
248,61504,15252992,15.748015748023622,6.2827613047827855
249,62001,15438249,15.7797338380595,6.291194551556287
250,62500,15625000,15.811388300841896,6.299605249474365
251,63001,15813251,15.84297951775486,6.307993548663267
252,63504,16003008,15.874507866387544,6.316359597656378
253,64009,16194277,15.905973720586866,6.32470354341737
254,64516,16387064,15.937377450509228,6.333025531362916
255,65025,16581375,15.968719422671311,6.341325705384997
256,65536,16777216,16.0,6.3496042078727974
257,66049,16974593,16.0312195418814,6.3578611797342
258,66564,17173512,16.06237840420901,6.366096760416892
259,67081,17373979,16.09347693943108,6.374311087929093
260,67600,17576000,16.1245154965971,6.3825042988599066
261,68121,17779581,16.15549442140351,6.390676528399307
262,68644,17984728,16.186414056238647,6.39882791035777
263,69169,18191447,16.217274740226856,6.4069585771855575
264,69696,18399744,16.24807680927192,6.415068659991652
265,70225,18609625,16.278820596099706,6.423158288562368
266,70756,18821096,16.30950643030009,6.431227591379624
267,71289,19034163,16.34013463836819,6.439276695638908
268,71824,19248832,16.3707055437449,6.447305727266913
269,72361,19465109,16.401219466856727,6.455314810938885
270,72900,19683000,16.431676725154983,6.46330407009565
271,73441,19902511,16.46207763315433,6.471273626960365
272,73984,20123648,16.492422502470642,6.479223602554966
273,74529,20346417,16.522711641858304,6.48715411671635
274,75076,20570824,16.55294535724685,6.495065288112263
275,75625,20796875,16.583123951777,6.502957234256934
276,76176,21024576,16.61324772583615,6.510830071526432
277,76729,21253933,16.64331697709324,6.518683915173769
278,77284,21484952,16.673332000533065,6.52651887934375
279,77841,21717639,16.703293088490067,6.534335077087572
280,78400,21952000,16.73320053068151,6.542132620377179
281,78961,22188041,16.76305461424021,6.549911620119374
282,79524,22425768,16.792855623746664,6.557672186169711
283,80089,22665187,16.822603841260722,6.565414427346138
284,80656,22906304,16.852299546352718,6.5731384514424285
285,81225,23149125,16.881943016134134,6.5808443652413935
286,81796,23393656,16.911534525287763,6.588532274527864
287,82369,23639903,16.941074346097416,6.596202284101479
288,82944,23887872,16.97056274847714,6.603854497789253
289,83521,24137569,17.0,6.611489018457944
290,84100,24389000,17.029386365926403,6.619105948026228
291,84681,24642171,17.05872210923198,6.626705387476669
292,85264,24897088,17.08800749063506,6.6342874368674964
293,85849,25153757,17.11724276862369,6.6418521953442085
294,86436,25412184,17.146428199482248,6.649399761150975
295,87025,25672375,17.175564037317667,6.656930231641867
296,87616,25934336,17.204650534085253,6.664443703291906
297,88209,26198073,17.233687939614086,6.671940271707946
298,88804,26463592,17.26267650163207,6.679420031639374
299,89401,26730899,17.291616465790582,6.686883076988654
300,90000,27000000,17.320508075688775,6.694329500821694
301,90601,27270901,17.349351572897472,6.701759395378069
302,91204,27543608,17.378147196982766,6.709172852081068
303,91809,27818127,17.406895185529212,6.716569961547597
304,92416,28094464,17.435595774162696,6.723950813597926
305,93025,28372625,17.46424919657298,6.731315497265289
306,93636,28652616,17.4928556845359,6.738664100805332
307,94249,28934443,17.52141546793523,6.745996711705424
308,94864,29218112,17.549928774784245,6.75331341669382
309,95481,29503629,17.578395831246947,6.760614301748689
310,96100,29791000,17.60681686165901,6.767899452107007
311,96721,30080231,17.635192088548397,6.775168952273312
312,97344,30371328,17.663521732655695,6.782422886028333
313,97969,30664297,17.69180601295413,6.789661336437484
314,98596,30959144,17.72004514666935,6.7968843858592365
315,99225,31255875,17.74823934929885,6.804092115953367
316,99856,31554496,17.776388834631177,6.811284607689078
317,100489,31855013,17.804493814764857,6.818461941353009
318,101124,32157432,17.832554500127006,6.825624196557114
319,101761,32461759,17.86057109949175,6.832771452246442
320,102400,32768000,17.88854381999832,6.839903786706787
321,103041,33076161,17.916472867168917,6.8470212775722405
322,103684,33386248,17.944358444926362,6.854124001832624
323,104329,33698267,17.97220075561143,6.861212035840819
324,104976,34012224,18.0,6.868285455319991
325,105625,34328125,18.027756377319946,6.875344335370705
326,106276,34645976,18.05547008526779,6.882388750477947
327,106929,34965783,18.083141320025124,6.88941877451804
328,107584,35287552,18.110770276274835,6.89643448076546
329,108241,35611289,18.138357147217054,6.9034359418995574
330,108900,35937000,18.16590212458495,6.910423230011183
331,109561,36264691,18.193405398660254,6.9173964166092246
332,110224,36594368,18.2208671582886,6.9243555726270385
333,110889,36926037,18.24828759089466,6.931300768428809
334,111556,37259704,18.275666882497067,6.938232073815801
335,112225,37595375,18.303005217723125,6.945149558032541
336,112896,37933056,18.33030277982336,6.952053289772898
337,113569,38272753,18.35755975068582,6.958943337186094
338,114244,38614472,18.384776310850235,6.965819767882616
339,114921,38958219,18.411952639521967,6.972682648940059
340,115600,39304000,18.439088914585774,6.979532046908886
341,116281,39651821,18.466185312619388,6.986368027818105
342,116964,40001688,18.49324200890693,6.993190657180867
343,117649,40353607,18.520259177452136,6.999999999999999
344,118336,40707584,18.547236990991408,7.006796120773448
345,119025,41063625,18.57417562100671,7.013579083499658
346,119716,41421736,18.601075237738275,7.020348951682877
347,120409,41781923,18.627936010197157,7.027105788338386
348,121104,42144192,18.65475810617763,7.033849655997662
349,121801,42508549,18.681541692269406,7.040580616713472
350,122500,42875000,18.708286933869708,7.047298732064891
351,123201,43243551,18.734993995195193,7.054004063162272
352,123904,43614208,18.76166303929372,7.060696670652125
353,124609,43986977,18.788294228055936,7.067376614721954
354,125316,44361864,18.81488772222678,7.074043955105013
355,126025,44738875,18.841443681416774,7.080698751085013
356,126736,45118016,18.867962264113206,7.087341061500753
357,127449,45499293,18.894443627691185,7.093970944750709
358,128164,45882712,18.920887928424502,7.1005884587975405
359,128881,46268279,18.947295321496416,7.107193661172559
360,129600,46656000,18.973665961010276,7.113786608980125
361,130321,47045881,19.0,7.1203673589019925
362,131044,47437928,19.026297590440446,7.126935967201602
363,131769,47832147,19.05255888325765,7.133492489728306
364,132496,48228544,19.078784028338912,7.140036981921556
365,133225,48627125,19.1049731745428,7.146569498815023
366,133956,49027896,19.131126469708992,7.153090095040668
367,134689,49430863,19.157244060668017,7.159598824832771
368,135424,49836032,19.183326093250876,7.166095742031892
369,136161,50243409,19.209372712298546,7.1725809000887955
370,136900,50653000,19.235384061671343,7.179054352068318
371,137641,51064811,19.261360284258224,7.18551615065319
372,138384,51478848,19.28730152198591,7.191966348147809
373,139129,51895117,19.313207915827967,7.198404996481965
374,139876,52313624,19.339079605813716,7.20483214721452
375,140625,52734375,19.364916731037084,7.211247851537041
376,141376,53157376,19.390719429665317,7.217652160277389
377,142129,53582633,19.4164878389476,7.2240451239032595
378,142884,54010152,19.44222209522358,7.230426792525689
379,143641,54439939,19.467922333931785,7.236797215902504
380,144400,54872000,19.493588689617926,7.24315644344174
381,145161,55306341,19.519221295943137,7.249504524205012
382,145924,55742968,19.544820285692065,7.255841506910845
383,146689,56181887,19.570385790780925,7.262167439937968
384,147456,56623104,19.595917942265423,7.268482371328558
385,148225,57066625,19.621416870348583,7.274786348791456
386,148996,57512456,19.6468827043885,7.281079419705336
387,149769,57960603,19.672315572906,7.287361631121842
388,150544,58411072,19.697715603592208,7.293633029768679
389,151321,58863869,19.72308292331602,7.299893662052675
390,152100,59319000,19.748417658131498,7.306143574062802
391,152881,59776471,19.77371993328519,7.312382811573165
392,153664,60236288,19.79898987322333,7.318611420045942
393,154449,60698457,19.82422760159901,7.3248294446343145
394,155236,61162984,19.849433241279208,7.331036930185335
395,156025,61629875,19.87460691435179,7.33723392124278
396,156816,62099136,19.8997487421324,7.343420462049962
397,157609,62570773,19.924858845171276,7.349596596552506
398,158404,63044792,19.949937343260004,7.355762368401102
399,159201,63521199,19.974984355438178,7.361917820954216
400,160000,64000000,20.0,7.368062997280773
401,160801,64481201,20.024984394500787,7.374197940162811
402,161604,64964808,20.049937655763422,7.380322692098104
403,162409,65450827,20.074859899884732,7.386437295302745
404,163216,65939264,20.09975124224178,7.392541791713715
405,164025,66430125,20.12461179749811,7.398636222991409
406,164836,66923416,20.149441679609886,7.404720630522142
407,165649,67419143,20.174241001832016,7.410795055420619
408,166464,67917312,20.199009876724155,7.416859538532378
409,167281,68417929,20.223748416156685,7.422914120436214
410,168100,68921000,20.248456731316587,7.428958841446565
411,168921,69426531,20.273134932713294,7.434993741615868
412,169744,69934528,20.29778313018444,7.441018860736905
413,170569,70444997,20.322401432901575,7.447034238345107
414,171396,70957944,20.346989949375804,7.4530399137208345
415,172225,71473375,20.37154878746336,7.45903592589164
416,173056,71991296,20.396078054371138,7.4650223136344955
417,173889,72511713,20.42057785666214,7.470999115478001
418,174724,73034632,20.445048300260872,7.476966369704569
419,175561,73560059,20.46948949045872,7.482924114352577
420,176400,74088000,20.493901531919196,7.488872387218507
421,177241,74618461,20.518284528683193,7.49481122585905
422,178084,75151448,20.54263858417414,7.500740667593201
423,178929,75686967,20.566963801203133,7.506660749504312
424,179776,76225024,20.591260281974,7.512571508442143
425,180625,76765625,20.615528128088304,7.518472981024873
426,181476,77308776,20.639767440550294,7.524365203641101
427,182329,77854483,20.663978319771825,7.530248212451817
428,183184,78402752,20.688160865577203,7.536122043392361
429,184041,78953589,20.71231517720798,7.541986732174345
430,184900,79507000,20.73644135332772,7.547842314287574
431,185761,80062991,20.760539492026695,7.553688825001928
432,186624,80621568,20.784609690826528,7.559526299369238
433,187489,81182737,20.808652046684813,7.565354772225128
434,188356,81746504,20.83266665599966,7.571174278190852
435,189225,82312875,20.85665361461421,7.576984851675098
436,190096,82881856,20.8806130178211,7.582786526875781
437,190969,83453453,20.904544960366874,7.588579337781814
438,191844,84027672,20.92844953645635,7.594363318174861
439,192721,84604519,20.952326839756964,7.6001385016310685
440,193600,85184000,20.97617696340303,7.605904921522782
441,194481,85766121,21.0,7.611662611020244
442,195364,86350888,21.02379604162864,7.617411603093271
443,196249,86938307,21.047565179849187,7.623151930512917
444,197136,87528384,21.071307505705477,7.628883625853116
445,198025,88121125,21.095023109728988,7.634606721492309
446,198916,88716536,21.118712081942874,7.640321249615054
447,199809,89314623,21.142374511865974,7.646027242213618
448,200704,89915392,21.166010488516726,7.651724731089556
449,201601,90518849,21.18962010041709,7.657413747855264
450,202500,91125000,21.213203435596427,7.66309432393553
451,203401,91733851,21.236760581595302,7.668766490569059
452,204304,92345408,21.2602916254693,7.674430278809982
453,205209,92959677,21.283796653792763,7.680085719529357
454,206116,93576664,21.307275752662516,7.685732843416645
455,207025,94196375,21.330729007701542,7.691371680981177
456,207936,94818816,21.354156504062622,7.697002262553609
457,208849,95443993,21.37755832643195,7.702624618287351
458,209764,96071912,21.400934559032695,7.708238778159992
459,210681,96702579,21.42428528562855,7.713844771974705
460,211600,97336000,21.447610589527216,7.719442629361641
461,212521,97972181,21.470910553583888,7.725032379779304
462,213444,98611128,21.494185260204677,7.73061405251592
463,214369,99252847,21.517434791350013,7.736187676690783
464,215296,99897344,21.540659228538015,7.741753281255592
465,216225,100544625,21.563858652847824,7.747310894995782
466,217156,101194696,21.587033144922902,7.752860546531822
467,218089,101847563,21.61018278497431,7.7584022643205195
468,219024,102503232,21.633307652783937,7.763936076656306
469,219961,103161709,21.656407827707714,7.769462011672504
470,220900,103823000,21.6794833886788,7.774980097342586
471,221841,104487111,21.702534414210707,7.780490361481424
472,222784,105154048,21.72556098240043,7.78599283174652
473,223729,105823817,21.748563170931547,7.79148753563923
474,224676,106496424,21.77154105707724,7.796974500505972
475,225625,107171875,21.79449471770337,7.802453753539423
476,226576,107850176,21.817424229271428,7.807925321779708
477,227529,108531333,21.840329667841555,7.813389232115572
478,228484,109215352,21.863211109075447,7.8188455112855415
479,229441,109902239,21.88606862823929,7.82429418587908
480,230400,110592000,21.908902300206645,7.829735282337726
481,231361,111284641,21.93171219946131,7.835168826956221
482,232324,111980168,21.95449840010015,7.840594845883629
483,233289,112678587,21.97726097583591,7.846013365124445
484,234256,113379904,22.0,7.851424410539689
485,235225,114084125,22.02271554554524,7.856828007847996
486,236196,114791256,22.045407685048602,7.862224182626689
487,237169,115501303,22.06807649071391,7.867612960312844
488,238144,116214272,22.090722034374522,7.872994366204345
489,239121,116930169,22.11334438749598,7.878368425460935
490,240100,117649000,22.135943621178654,7.883735163105242
491,241081,118370771,22.15851980616034,7.88909460402381
492,242064,119095488,22.181073012818835,7.894446772968114
493,243049,119823157,22.20360331117452,7.899791694555565
494,244036,120553784,22.22611077089287,7.9051293932705065
495,245025,121287375,22.24859546128699,7.910459893465201
496,246016,122023936,22.271057451320086,7.91578321936081
497,247009,122763473,22.293496809607955,7.92109939504836
498,248004,123505992,22.315913604421397,7.926408444489703
499,249001,124251499,22.338307903688676,7.931710391518466
500,250000,125000000,22.360679774997898,7.937005259840997
501,251001,125751501,22.38302928559939,7.942293073037288
502,252004,126506008,22.40535650240808,7.9475738545619095
503,253009,127263527,22.427661492005804,7.952847627744923
504,254016,128024064,22.44994432064365,7.958114415792783
505,255025,128787625,22.47220505424423,7.963374241789242
506,256036,129554216,22.494443758403985,7.968627128696237
507,257049,130323843,22.516660498395403,7.973873099354774
508,258064,131096512,22.538855339169288,7.979112176485801
509,259081,131872229,22.561028345356956,7.984344382691074
510,260100,132651000,22.58317958127243,7.989569740454012
511,261121,133432831,22.60530911091463,7.994788272140555
512,262144,134217728,22.627416997969522,7.999999999999999
513,263169,135005697,22.64950330581225,8.005204946165835
514,264196,135796744,22.67156809750927,8.01040313265657
515,265225,136590875,22.693611435820433,8.015594581376558
516,266256,137388096,22.715633383201094,8.020779314116801
517,267289,138188413,22.737634001804146,8.02595735255576
518,268324,138991832,22.759613353482084,8.031128718260154
519,269361,139798359,22.781571499789035,8.036293432685742
520,270400,140608000,22.80350850198276,8.041451517178116
521,271441,141420761,22.825424421026653,8.04660299297347
522,272484,142236648,22.847319317591726,8.051747881199377
523,273529,143055667,22.869193252058544,8.056886202875548
524,274576,143877824,22.891046284519195,8.062017978914579
525,275625,144703125,22.9128784747792,8.067143230122717
526,276676,145531576,22.93468988235943,8.07226197720059
527,277729,146363183,22.956480566497994,8.077374240743945
528,278784,147197952,22.978250586152114,8.082480041244379
529,279841,148035889,23.0,8.087579399090064
530,280900,148877000,23.021728866442675,8.092672334566455
531,281961,149721291,23.043437243605826,8.097758867857012
532,283024,150568768,23.065125189341593,8.102839019043893
533,284089,151419437,23.08679276123039,8.107912808108658
534,285156,152273304,23.108440016582687,8.112980254932962
535,286225,153130375,23.130067012440755,8.118041379299234
536,287296,153990656,23.15167380558045,8.123096200891359
537,288369,154854153,23.173260452512935,8.128144739295356
538,289444,155720872,23.194827009486403,8.133187014000045
539,290521,156590819,23.2163735324878,8.138223044397701
540,291600,157464000,23.2379000772445,8.14325284978472
541,292681,158340421,23.259406699226016,8.148276449362262
542,293764,159220088,23.280893453645632,8.153293862236906
543,294849,160103007,23.302360395462088,8.15830510742128
544,295936,160989184,23.323807579381203,8.163310203834696
545,297025,161878625,23.345235059857504,8.168309170303784
546,298116,162771336,23.366642891095847,8.173302025563112
547,299209,163667323,23.388031127053,8.178288788255804
548,300304,164566592,23.40939982143925,8.18326947693415
549,301401,165469149,23.430749027719962,8.18824411006022
550,302500,166375000,23.45207879911715,8.193212706006458
551,303601,167284151,23.473389188611005,8.198175283056287
552,304704,168196608,23.49468024894146,8.203131859404694
553,305809,169112377,23.515952032609693,8.208082453158825
554,306916,170031464,23.53720459187964,8.213027082338558
555,308025,170953875,23.558437978779494,8.217965764877086
556,309136,171879616,23.57965224510319,8.22289851862149
557,310249,172808693,23.600847442411894,8.2278253613333
558,311364,173741112,23.62202362203543,8.232746310689071
559,312481,174676879,23.643180835073778,8.237661384280925
560,313600,175616000,23.664319132398465,8.242570599617112
561,314721,176558481,23.68543856465402,8.247473974122565
562,315844,177504328,23.706539182259394,8.252371525139433
563,316969,178453547,23.727621035409346,8.257263269927625
564,318096,179406144,23.748684174075834,8.26214922566535
